NO_MUNICIPIO_ESC,nota
ITABUNA,566.7603823529407
ITAINOPOLIS,480.60615384615386
ITAITUBA,540.2090322580649
ITAJAI,559.3558415841583
ITAMBE,514.3204166666663
ITAPECURU MIRIM,458.92418367346926
ITAPERUNA,566.4291168091171
ITAPETININGA,561.050788091069
ITAPEVA,536.8474019607844
ITAPIPOCA,488.5054243542437
ITAQUAQUECETUBA,528.3080151228731
ITARUMA,463.55466666666666
ITATIBA,572.5153692614774
ITIQUIRA,476.250303030303
ITORORO,483.75823529411764
ITU,577.7729929577466
ITUIUTABA,568.9441436464084
IVAIPORA,557.4284285714288
JABOATAO DOS GUARARAPES,528.5161752577321
JACAREI,565.8445131729669
JACUNDA,501.22436781609184
JAGUARARI,524.0619047619049
JAGUARIUNA,553.4311494252875
JANUARIA,546.5061111111108
JAPERI,479.9784873949581
JARAGUA DO SUL,582.6545280437757
JARDINOPOLIS,553.7533980582523
JATAI,558.664494382022
JENIPAPO DE MINAS,501.65500000000003
JEQUIE,569.2891816367267
JOINVILLE,584.2938550983893
JOAO ALFREDO,538.8463829787233
JOAO NEIVA,541.770625
JOAO PESSOA,574.7560821979006
JUAZEIRINHO,495.8694736842107
JUAZEIRO,534.4622919937207
JUAZEIRO DO NORTE,536.367162583519
JUIZ DE FORA,606.2585721623007
JUNDIAI,585.5896606786432
JUSSARA,539.1959055118109
LAGARTO,554.116525423729
LAGO DA PEDRA,517.3269999999999
LAGOA GRANDE,495.6353424657533
LAGOA NOVA,546.9807142857143
LAGOA SECA,472.3808695652175
LAGOA DA CANOA,517.4550000000002
LAJEADO,621.3313692946056
LAURO DE FREITAS,591.5324343675414
LENCOIS PAULISTA,565.2735531135528
LEOBERTO LEAL,567.4763636363637
LIBERDADE,564.96
LIMEIRA,575.7344724556485
LINDOLFO COLLOR,531.021052631579
LINDOIA,526.3923076923077
LINHARES,569.5312518409424
LONDRINA,575.201262766945
LUZ,576.8927272727274
LUZIANIA,514.0113785046727
LUIS CORREIA,456.05438596491246
MACAMBIRA,500.545
MACAPA,530.03413985414
MACAU,534.6699371069185
MACAE,574.3048289738425
MACAIBA,523.6741365461849
MACEIO,552.6071353535348
MACHADINHO D'OESTE,509.25731958762873
MAGE,530.807389558233
MAIRINQUE,531.361707317073
MAMANGUAPE,504.41991967871456
MANAUS,517.1884952019402
MANGARATIBA,525.1877142857143
MANHUACU,595.6858823529411
MANICORE,456.99563025210085
MARA ROSA,525.6965853658537
MARABA,544.7488616462349
MARACANAU,497.8096989600436
MARAU,560.378552631579
MARECHAL DEODORO,510.01129337539436
MARECHAL FLORIANO,583.0282758620691
MARICA,546.201677852349
MARINGA,570.0336917960088
MARITUBA,511.1404359673027
MARILIA,587.0658282950425
MASSAPE,477.6389274447948
MATIPO,566.1542857142857
MATRINCHA,433.95714285714286
MATRIZ DE CAMARAGIBE,482.9004545454545
MATAO,558.2205373134328
MAUA,541.186090750436
MESQUITA,521.199868852459
MINACU,538.2296703296704
MINEIROS,557.0461648745514
MIRABELA,491.7306666666667
MOCAJUBA,469.58862275449104
MOCOCA,563.0336140350881
MOGI GUACU,567.4618749999998
MOJU,483.09197080291966
MONGAGUA,533.0101621621619
MONTE ALEGRE,475.77793427230046
MONTE ALEGRE DE GOIAS,415.5918181818182
MONTE ALEGRE DE SERGIPE,525.3097959183675
MONTE ALTO,581.9827737226276
MONTE APRAZIVEL,531.1499999999999
MONTE AZUL PAULISTA,519.4777777777778
MOSSORO,578.8087830687825
MURIBECA,452.07454545454544
MURICI,511.3650285714286
MAE DO RIO,491.0091525423729
NATAL,588.5146913023888
NAZARE,504.7245238095237
NILOPOLIS,547.9989473684212
NITEROI,600.9565473527219
NONOAI,521.9186666666666
NOSSA SENHORA DA GLORIA,550.1480536912749
NOSSA SENHORA DO SOCORRO,521.4637244897957
NOVA ALIANCA,544.8767999999999
NOVA ERA,576.3000000000001
NOVA FRIBURGO,604.8202620087333
NOVA IGUACU,533.0652108005684
NOVA MAMORE,451.92999999999984
NOVA PALMA,558.9164285714285
NOVA RUSSAS,474.98221662468507
NOVA SERRANA,544.1736764705881
NOVA TIMBOTEUA,518.9778571428571
NOVO REPARTIMENTO,497.9153846153845
OCARA,471.31991596638636
OLINDA,539.9960403726711
ORIXIMINA,490.6593031358886
ORIZONA,518.687027027027
OROCO,471.59649999999993
OSASCO,563.5068660194178
OURINHOS,565.5283102493079
OURO FINO,566.9778260869565
PACATUBA,512.9363120567375
PAES LANDIM,448.31666666666666
PALMEIRA DOS INDIOS,528.2377906976744
PALMITAL,531.2495726495725
PALMITOS,525.3872727272727
PARACAMBI,562.0592857142854
PARACURU,484.013796296296
PARAGOMINAS,534.8996645702306
PARAMBU,453.13935691318335
PARANAGUA,534.8683306320908
PARANAIGUARA,508.5
PARATY,569.7480916030535
PARAUAPEBAS,543.106360424028
PARAIBA DO SUL,521.3451063829788
PARINTINS,478.9029129662521
PARNAMIRIM,578.6490571870171
PARNAIBA,547.1891836734693
PAROBE,516.2016279069766
PARA DE MINAS,595.9272427983542
PASSA E FICA,527.28875
PASSO DE TORRES,528.0152
PASSOS,574.3701923076923
PATOS,546.0755873015878
PATROCINIO,587.9260714285714
PATROCINIO PAULISTA,548.3673684210526
PATY DO ALFERES,524.0505555555554
PAU D'ARCO,482.90000000000003
PAU DOS FERROS,592.6945029239762
PAULISTA,540.7153722978381
PAULISTANA,529.8370491803279
PAULO AFONSO,561.7370334928232
PEDERNEIRAS,562.0577358490567
PEDRA AZUL,504.61736842105273
PEDREIRA,524.9666666666665
PEDRINHAS,525.9377777777777
PELOTAS,579.6734445083381
PENALVA,453.83388235294126
PENEDO,486.98053398058204
PENTECOSTE,494.5499718309857
PESQUEIRA,546.5978010471204
PETROLINA,555.6728155339804
PICOS,575.8696263736263
PIEDADE,555.1209090909091
PIRACANJUBA,539.0385185185187
PIRACICABA,574.7872871287128
PIRES DO RIO,555.2482191780821
PITANGUEIRAS,536.0789361702128
PITANGUI,553.816
POCONE,436.8322500000001
POMBAL,550.7513089005234
PONTE NOVA,606.5971014492752
PORANGA,465.55593984962417
PORTO ALEGRE,597.6463799126636
PORTO NACIONAL,530.1684112149529
PORTO VELHO,529.0157186081691
POCOS DE CALDAS,598.343114035088
PRADO,520.9725
PRAIA GRANDE,538.9113707865165
PE DE SERRA,520.9057142857142
QUATIS,525.1054545454546
QUEIMADOS,514.0493788819874
QUIXADA,505.98218390804567
QUIXERAMOBIM,481.96465517241364
RECIFE,576.1836583903079
REDENCAO,503.4153276353278
REGISTRO,571.7201986754968
RESENDE,584.4783363471972
RIACHAO DO POCO,475.8368
RIBEIRAO BRANCO,506.21555555555557
RIBEIRAO PIRES,543.4003183023875
RIBEIRAO PRETO,598.3023493516398
RIBEIRAO DAS NEVES,553.1711287128713
RIFAINA,512.3800000000001
RIO BRANCO,540.5555187231432
RIO BRILHANTE,539.8137634408603
RIO GRANDE,565.0377484787016
RIO LARGO,513.2501428571427
RIO TINTO,490.90825396825386
RIO VERDE,541.1033766233769
RIO DAS OSTRAS,569.1385294117647
RIO DE JANEIRO,584.9743160034857
RODELAS,501.29
RODOLFO FERNANDES,488.72875
ROLANTE,551.882909090909
RONDONOPOLIS,544.2099799196787
ROQUE GONZALES,554.2418181818182
ROSARIO,461.371125
ROSARIO DO SUL,540.558775510204
RUBIATABA,542.2381609195403
RUSSAS,533.489016697588
SACRAMENTO,571.0984126984126
SALVADOR,579.7783630588813
SANDOVALINA,517.32
SANT'ANA DO LIVRAMENTO,544.3949090909089
SANTA BARBARA D'OESTE,549.8788185654008
SANTA CRUZ,563.2927687296416
SANTA CRUZ DO SUL,597.6654497354499
SANTA HELENA DE GOIAS,524.5227777777776
SANTA INES,537.1040498442361
SANTA IZABEL DO PARA,507.8788392857144
SANTA LUZIA,530.6020272314673
SANTA MARIA,589.5059663191662
SANTA ROSA,582.7742679127731
SANTA TERESA,574.6010204081633
SANTALUZ,498.4897297297297
SANTANA,530.0729121725731
SANTANA DE PARNAIBA,542.785060565276
SANTANA DO ARAGUAIA,458.7717647058824
SANTANA DO SAO FRANCISCO,473.4426086956521
SANTAREM,533.4337651245554
SANTIAGO,561.9193865030674
SANTO AMARO,523.5188888888887
SANTO AMARO DO MARANHAO,433.89916666666664
SANTO ANDRE,577.4606098773618
SANTO ANTONIO DA BARRA,460.78705882352943
SANTO ANTONIO DE PADUA,559.34225
SANTO ANTONIO DO DESCOBERTO,499.7319999999999
SANTO CRISTO,536.9294736842106
SANTO ESTEVAO,514.3769325153374
SANTO INACIO DO PIAUI,490.88222222222225
SANTO ANGELO,571.9857142857143
SANTOS,577.9759575656057
SAPIRANGA,570.5847161572052
SAPUCAIA,534.4813333333336
SAPUCAIA DO SUL,563.1539534883717
SAPE,507.12555555555565
SARZEDO,531.2057142857143
SEABRA,569.273833992095
SEBERI,544.456842105263
SENA MADUREIRA,496.0552631578948
SENADOR CANEDO,519.2318706697457
SENADOR POMPEU,519.1453012048191
SENADOR SALGADO FILHO,558.7142857142857
SENHOR DO BONFIM,566.6938620689654
SERINGUEIRAS,489.76823529411774
SEROPEDICA,533.116438356165
SERRA,543.8957363420433
SERRA BRANCA,482.2361111111113
SERRINHA,537.124109589041
SERRITA,454.51166666666666
SERRO,559.0712500000001
SERTANIA,530.4214285714286
SERTAOZINHO,555.7944123314059
SINOP,569.2054415954416
SOBRAL,529.1393666819639
SOROCABA,574.473694793537
SORRISO,539.5819886363635
SOUSA,537.4222612085772
SUMIDOURO,533.23
SUZANO,555.307360970677
SAO BENEDITO DO RIO PRETO,451.72
SAO BENTO DO SUL,569.7956914893617
SAO BENTO DO UNA,530.1705263157896
SAO BERNARDO DO CAMPO,574.9789915458937
SAO CAETANO DO SUL,584.4106050420166
SAO CARLOS,591.5450000000002
SAO FIDELIS,552.5937931034483
SAO FRANCISCO,508.68086206896555
SAO FELIX DO XINGU,503.43626373626364
SAO GONCALO,552.8940932164282
SAO GONCALO DO AMARANTE,517.5382886597939
SAO GONCALO DOS CAMPOS,486.67343283582096
SAO JOSE,580.2045495093665
SAO JOSE DA COROA GRANDE,500.96051948051957
SAO JOSE DE MIPIBU,480.64707692307684
SAO JOSE DE PIRANHAS,478.5623333333333
SAO JOSE DO BELMONTE,517.8712
SAO JOSE DO RIO PRETO,592.2436134934244
SAO JOSE DO SABUGI,455.5038095238096
SAO JOSE DOS CAMPOS,599.735315013405
SAO JOSE DOS PINHAIS,549.5795335820899
SAO JOAO DA URTIGA,547.0466666666666
SAO JOAO DE MERITI,542.4635555555554
SAO JOAO DO CARIRI,485.0922222222221
SAO JOAO DO PIAUI,532.0557627118645
SAO JOAO DOS PATOS,523.2417105263158
SAO LEOPOLDO,573.9288928571426
SAO LUIZ GONZAGA,527.6179856115111
SAO LUIS,542.5259616068251
SAO MATEUS,565.3712927756656
SAO MIGUEL DO ARAGUAIA,535.7913043478262
SAO PATRICIO,519.5319999999999
SAO PAULO,572.2624740230403
SAO PEDRO DA ALDEIA,554.4694029850742
SAO RAIMUNDO NONATO,519.3260557768923
SAO SEBASTIAO,519.3527717391303
TABOAO DA SERRA,553.3878320090804
TACAIMBO,497.5807999999999
TANABI,561.4468421052633
TAPIRAMUTA,468.0162025316457
TAQUARA,577.4479536679534
TEIXEIRA,502.23999999999995
TELEMACO BORBA,552.5893805309738
TEOTONIO VILELA,527.7292896174862
TERESINA,571.2771716444762
TERESOPOLIS,584.340539419087
TERRA RICA,501.03999999999996
TIANGUA,492.38813609467473
TIMBO,544.2207741935484
TIMON,521.5556756756755
TOCANTINOPOLIS,487.57055555555536
TOLEDO,567.5593613445375
TORITAMA,503.87511811023643
TRINDADE,523.4295638629283
TRES LAGOAS,552.1472979214781
TUCURUI,530.0200000000006
TUPA,561.4918918918919
TURILANDIA,454.0391304347826
TURURU,448.36121951219513
UBAJARA,504.56632124352353
UBERLANDIA,587.1128117913837
UBIRATA,533.6832352941176
UIRAPURU,479.79692307692306
UPANEMA,501.3627027027027
URANDI,555.788
URBANO SANTOS,485.9706493506494
VALENCA,554.504830188679
VALINHOS,610.8244299674268
VALPARAISO DE GOIAS,528.4869879518076
VARGEM GRANDE,467.336879432624
VARJOTA,490.385593220339
VENDA NOVA DO IMIGRANTE,595.381447963801
VERANOPOLIS,614.5341573033709
VIANA,531.7421265822786
VIDAL RAMOS,571.4142857142858
VIGIA,487.55511111111093
VILA VELHA,577.5947378020982
VILHENA,532.9806982543643
VITORINO FREIRE,494.9071111111111
VITORIA,599.4719343761915
VITORIA DA CONQUISTA,576.9303987960883
VITORIA DE SANTO ANTAO,537.7532132963987
VOLTA REDONDA,589.7744052044607
VARZEA GRANDE,513.6059541984733
XANXERE,574.0461886792451
AGUA BRANCA,479.6626851851849
AGUAS LINDAS DE GOIAS,508.3013947368421
AGUIA BRANCA,504.9703846153846
ACARAU,526.2532907348241
ACARA,489.36035714285714
AGUDOS,573.2974757281552
ALEGRETE,538.2618000000002
ALENQUER,463.09809523809537
ALHANDRA,501.2425
ALTA FLORESTA,541.9609950248756
ALTO DO RODRIGUES,490.42774193548394
ALVORADA DO SUL,535.326
AMARGOSA,561.965137614679
AMONTADA,476.1773536895673
ANGICO,497.74076923076916
ANTONIO CARLOS,560.1106060606061
APARECIDA DE GOIANIA,538.5511019141237
APIAI,532.5122580645162
APUCARANA,542.3900366300371
AQUIRAZ,492.95614598540163
ARACATI,487.27426403641897
ARACRUZ,576.4690249433104
ARAGUAINA,542.9989825581397
ARAME,486.2773134328359
ARARA,502.94921052631577
ARARUAMA,548.3100995024873
ARAUCARIA,546.7937710437709
ARACATUBA,580.1450856389993
AREIAL,504.0674285714285
ARRAIAL DO CABO,573.6796721311474
ARROIO DO MEIO,595.1436363636365
ASCURRA,564.0061538461538
BAGE,545.4900719424463
BALNEARIO CAMBORIU,575.8164166666666
BARBALHA,494.86621983914216
BARBOSA FERRAZ,509.90387096774197
BARCELOS,465.41161290322583
BARRA DO CORDA,517.744303030303
BATAGUASSU,534.1128
BAIA FORMOSA,521.0685714285715
BEBERIBE,488.1648322147651
BELMONTE,480.66363636363633
BELO ORIENTE,504.29999999999995
BELTERRA,497.4388235294117
BENJAMIN CONSTANT,439.602
BIRIGUI,571.8075598086126
BOM JESUS DO ITABAPOANA,548.2020000000002
BORBA,443.44571428571413
BORBOREMA,457.328
BOTUCATU,587.3297277676949
BRAGA,519.5036363636364
BRAGANCA,513.5642523364484
BRASILANDIA DO TOCANTINS,575.58
BRACO DO NORTE,571.2507499999998
BREVES,492.51765903307887
BURITI DOS LOPES,466.2573584905659
BURITIS,514.1730434782609
CABEDELO,525.6534841628959
CABO FRIO,573.9723809523806
CACHOEIRAS DE MACACU,545.4592753623185
CACOAL,527.1481390593049
CAFELANDIA,505.082385321101
CAJAZEIRAS,553.407718446602
CALDAS NOVAS,525.3925909090909
CAMBORIU,558.8120848056539
CAMPINA DA LAGOA,501.16499999999996
CAMPO LARGO,549.9513725490193
CANINDE,509.8719040479758
CANTAGALO,517.1350588235293
CAPINZAL,520.4452747252748
CAPAO DA CANOA,544.5605555555554
CARANGOLA,592.8955294117646
CARIDADE,521.5634682080926
CARIDADE DO PIAUI,483.7214285714286
CARMO,579.8180487804881
CARMOPOLIS,461.03942857142863
CASIMIRO DE ABREU,564.5489189189186
CASTANHEIRA,545.9355555555555
CASTRO,531.62677852349
CATOLE DO ROCHA,553.1306504065041
CATU,541.3061224489795
CACADOR,550.0691463414635
CEDRO,474.3884887459809
CHAVAL,492.2247706422019
CLARAVAL,502.7799999999999
COARACI,520.5322033898306
COARI,470.8838367346937
COCAL DE TELHA,480.51882352941175
COELHO NETO,494.5866310160431
COLARES,462.96999999999986
COLINAS DO TOCANTINS,537.3623899371067
COLONIA DO GURGUEIA,499.1321951219513
COREAU,465.0627848101266
CORNELIO PROCOPIO,544.1754263565895
CORONEL FABRICIANO,588.4720833333333
CORUMBAIBA,485.5787096774194
COSMOPOLIS,555.4265277777777
COXIM,514.7118110236222
CRAIBAS,481.9603278688524
CRICIUMA,576.907188118812
CRISTAIS,512.9904761904761
CRISTINO CASTRO,475.8705882352942
CRUZ ALTA,546.0459016393443
CURITIBANOS,524.5029787234045
CURRAIS NOVOS,579.9706451612903
CURVELANDIA,503.93
CACERES,533.5722509225092
DELMIRO GOUVEIA,494.45647577092524
DESCALVADO,603.8096551724136
DIAMANTINA,589.64077294686
DIRCEU ARCOVERDE,454.29999999999995
DOLCINOPOLIS,549.88
DOM PEDRO,539.9636734693876
ENTRE RIOS,497.0750819672132
ESPERANTINA,487.7937142857141
ESPIRITO SANTO DO PINHAL,543.7369747899163
ESTREITO,499.7018803418806
ESTRELA DO INDAIA,502.28000000000003
ESTRELA DO NORTE,520.5492307692308
ESTANCIA,537.8619354838709
EXTREMA,560.1884297520659
FRANCISCO BELTRAO,547.6759619047617
FRANCISCO SANTOS,549.4537142857142
FRECHEIRINHA,483.3987272727273
FRUTUOSO GOMES,505.99
FUNDAO,520.9820000000001
GAMELEIRA DE GOIAS,539.2907692307692
GARCA,556.7083962264151
GASPAR,545.061472392638
GLORIA DE DOURADOS,521.0951724137932
GOIATUBA,534.9192307692307
GOIOERE,551.9812213740456
GROAIRAS,486.152972972973
GUAIUBA,481.6869298245614
GUANAMBI,577.1756976744186
GUAPIMIRIM,523.6639603960394
GUAPORE,561.6209090909092
GUAIRA,515.3358506224067
HOLAMBRA,604.0788888888889
HUMBERTO DE CAMPOS,456.3625641025642
IBATE,536.4148780487803
IBICUI,493.7168421052631
IBIQUERA,441.3786666666667
IBIRA,558.1133333333333
IBIUNA,534.491921182266
ICAPUI,467.19658536585376
ICO,478.500620155039
IGARATINGA,565.868
IMBITUBA,555.2317318435754
INDEPENDENCIA,473.5632539682543
INDIAPORA,481.8028571428572
INDIAROBA,444.35358490566045
INHUMAS,568.7362903225807
IPERO,508.3883720930233
IRAI,557.425
ITABIRA,591.7106382978726
ITABORAI,521.3637551020405
ITACARE,464.47662337662337
ITACOATIARA,488.62803625377654
ITACURUBA,460.30600000000015
ITAGUAI,533.7965781710916
ITAMARAJU,533.6437647058824
ITANHAEM,529.415870967742
ITAPAJE,500.7227184466018
ITAPECERICA DA SERRA,535.067157360406
ITAPEMIRIM,490.1995402298851
ITAPORANGA,541.8196363636364
ITAPORANGA D'AJUDA,466.8134210526315
ITUPEVA,559.1721590909092
